text,labels
张总监新微信号wxid_abc123，请添加处理报销事宜,"B-NAME I-NAME O O O B-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT O O O O O O"
赵董事长有急事找您，手机号13201234567，请尽快联系,"B-NAME I-NAME O O O O O O B-PHONE I-PHONE I-PHONE I-PHONE I-PHONE I-PHONE O O O"
李经理让你转账5000元到账户8888999988889999,"B-NAME I-NAME O O O B-MONEY I-MONEY O B-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT"
公司总监紧急通知，需支付公款到账号9876987698769876,"O O O O O O O O O B-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT"
您是密接人员需登记核酸信息，详情见http://health.com,"O O O O O O O O O B-LINK I-LINK I-LINK I-LINK"
防疫办通知需支付隔离餐费，收款账号：6222666677778888,"O O O O O O O O O B-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT"
健康码异常需重新绑定银行卡，客服电话：4008009000,"O O O O O O O O O O B-PHONE I-PHONE I-PHONE I-PHONE"
疫情防控人员，需要您支付1000元隔离费用，支付宝：pay@123456,"O O O O O O O B-MONEY I-MONEY O O O O B-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT"
您被列为新冠阳性人员，需电话联系：13712345678,"O O O O O O O O O O O B-PHONE I-PHONE I-PHONE I-PHONE I-PHONE I-PHONE"
核酸检测结果异常，请尽快联系社区医院，电话：010-87654321,"O O O O O O O O O O O O B-PHONE I-PHONE I-PHONE I-PHONE I-PHONE I-PHONE"
疫情防控中心通知您于明天9点前往北京市海淀区体育馆检测,"O O O O O O O B-TIME I-TIME I-TIME O B-LOC I-LOC I-LOC I-LOC O O"
核酸检测费用200元/人，扫码支付wx_covid888,"O O O O B-MONEY I-MONEY O O O O B-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT"
哥哥我手机坏了发个红包呗，微信号：wxid123456,"O O O O O O O O O B-ACCOUNT I-ACCOUNT"
网恋对象说他出车祸急需钱，收款账号：6222777788889999,"O O O O O O O O O O B-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT"
网友说要来看我让我转路费，电话：13555555555,"O O O O O O O O O O B-PHONE I-PHONE I-PHONE I-PHONE I-PHONE I-PHONE"
男朋友说遇到急事需要钱，支付宝：13299998888,"O O O O O O O O O O B-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT"
女友说生病住院需手术费，急需转账20000元，卡号：6228999988887777,"O O O O O O O O O B-MONEY I-MONEY O O O B-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT"
国外男友说海关扣了包裹，需缴纳2000元关税才能放行,"O O O O O O O O O O B-MONEY I-MONEY O O O O"
相亲认识的女生说想买新款苹果手机，借钱9000元，微信：love888,"O O O O O O O O O O O O B-MONEY I-MONEY O O O B-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT"
"在线相亲认识的军官说要携巨款回国，需要我垫付5000元手续费，账号：6217001234567890","O O O O O O O O O O O O O O B-MONEY I-MONEY O O O O B-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT"
网友借钱说家人住院急需医药费，转账到银行卡：6228123456789012,"O O O O O O O O O O O O O B-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT I-ACCOUNT"
您的贷款申请已通过，请登录http://loan.com查看详情,"O O O O O O O O B-LINK I-LINK I-LINK I-LINK"
贷款额度20万已审批，请添加客服微信：loan888,"O O O O B-MONEY I-MONEY O O O O B-ACCOUNT I-ACCOUNT"
您的ETC已过期，请点击http://etc.com更新,"O O O O O O B-LINK I-LINK I-LINK I-LINK"
ETC账户异常，请拨打4001234567处理,"O O O O O O B-PHONE I-PHONE I-PHONE I-PHONE"
您的快递已签收，请点击http://express.com确认,"O O O O O O B-LINK I-LINK I-LINK I-LINK"
快递包裹异常，请联系快递员：13800138000,"O O O O O O O O B-PHONE I-PHONE I-PHONE I-PHONE I-PHONE I-PHONE"
您的社保卡已过期，请登录http://social.com更新,"O O O O O O O O B-LINK I-LINK I-LINK I-LINK"
社保账户异常，请拨打4001234567处理,"O O O O O O B-PHONE I-PHONE I-PHONE I-PHONE"
您的医保卡已过期，请登录http://medical.com更新,"O O O O O O O O B-LINK I-LINK I-LINK I-LINK"
医保账户异常，请拨打4001234567处理,"O O O O O O B-PHONE I-PHONE I-PHONE I-PHONE"
您的信用卡已逾期，请登录http://credit.com处理,"O O O O O O O O B-LINK I-LINK I-LINK I-LINK"
信用卡逾期，请拨打4001234567处理,"O O O O O O B-PHONE I-PHONE I-PHONE I-PHONE"
优惠力度5折起，点击链接http://discount.fake查看详情,"O O O B-MONEY O O O O B-LINK I-LINK I-LINK I-LINK O O"
特价商品仅售原价30%，今日23:59:59截止，访问www.sale.fake,"O O O O O B-MONEY O B-TIME I-TIME I-TIME I-TIME O O B-LINK I-LINK I-LINK I-LINK"
限时秒杀：苹果13仅需4999元，抢购地址：https://buy.now,"O O O O O O O B-MONEY I-MONEY O O O O B-LINK I-LINK I-LINK I-LINK" 
